synthetic_apprentice_id,cohort,attendance_pct,days_since_last_mentoring,last_mentoring_date,days_since_last_progress_review,otj_deficit_hours,fs_maths_status,fs_english_status,lldd_flag,days_since_onefile_update,assignments_late_count,assignments_outstanding_count
SYN-034,MLE_02,84.5,27,2026-07-14,59,-24.2,achieved,not_required,False,17,0,1
SYN-035,DT_09,84.0,16,2026-07-25,53,12.3,achieved,achieved,False,25,1,0
SYN-036,DT_03,78.1,1,2026-08-09,62,20.2,not_required,achieved,True,16,1,0
SYN-037,AI_05,100.0,7,2026-08-03,52,11.4,achieved,achieved,False,19,0,0
SYN-038,DT_02,98.2,4,2026-08-06,66,11.5,not_required,not_required,False,0,0,0
SYN-039,DA_08,70.8,15,2026-07-26,51,26.2,achieved,achieved,True,6,1,2
SYN-040,DT_08,78.7,24,2026-07-17,65,-2.5,not_required,not_required,False,23,1,2
SYN-041,DA_05,76.2,23,2026-07-18,73,15.4,achieved,achieved,False,37,0,0
SYN-042,DT_05,63.6,109,2026-04-23,125,48.5,not_required,in_progress,False,41,0,2
SYN-043,DT_08,92.3,17,2026-07-24,13,34.7,in_progress,not_required,False,14,0,1
SYN-044,AI_01,100.0,42,2026-06-29,80,17.6,achieved,not_required,False,0,0,0
SYN-045,DA_02,82.5,14,2026-07-27,55,23.9,in_progress,not_required,False,2,0,1
SYN-046,DA_07,79.2,26,2026-07-15,15,3.9,achieved,not_required,True,18,0,1
SYN-047,DT_07,96.8,15,2026-07-26,35,0.3,achieved,achieved,False,16,0,1
SYN-048,MLE_02,100.0,22,2026-07-19,65,5.3,achieved,achieved,False,1,0,1
SYN-049,DT_04,98.1,17,2026-07-24,44,-8.4,not_required,achieved,False,15,2,0
SYN-050,MLE_01,100.0,10,2026-07-31,39,-4.6,achieved,not_required,False,12,0,0
SYN-051,DA_05,96.8,23,2026-07-18,78,-7.7,not_required,achieved,False,16,0,0
SYN-052,AI_05,100.0,27,2026-07-14,29,29.1,in_progress,not_required,False,19,1,1
SYN-053,DT_05,68.2,33,2026-07-08,62,21.3,achieved,in_progress,True,37,1,1
SYN-054,DA_02,77.4,21,2026-07-20,54,-17.3,achieved,not_required,False,19,1,1
SYN-055,DT_03,88.8,1,2026-08-09,57,13.5,in_progress,not_required,True,16,2,1
SYN-056,DA_10,100.0,24,2026-07-17,59,0.8,in_progress,in_progress,False,26,1,2
SYN-057,DT_07,87.6,5,2026-08-05,68,17.4,achieved,not_required,True,14,0,0
SYN-058,DA_06,83.5,20,2026-07-21,53,-2.3,achieved,in_progress,False,34,1,0
SYN-059,AI_01,79.0,95,2026-05-07,168,43.9,in_progress,in_progress,False,42,2,1
SYN-060,DA_08,97.3,2,2026-08-08,44,6.7,achieved,not_required,False,14,0,1
SYN-061,DA_04,100.0,18,2026-07-23,51,-16.9,not_required,achieved,False,17,0,0
SYN-062,DA_04,80.6,4,2026-08-06,52,0.9,not_required,in_progress,False,31,1,1
SYN-063,DA_03,72.1,30,2026-07-11,113,42.2,in_progress,achieved,False,38,1,1
SYN-064,DT_08,88.6,4,2026-08-06,65,-6.6,achieved,achieved,False,0,0,0
SYN-065,DA_09,79.4,16,2026-07-25,61,-8.1,not_required,achieved,False,30,1,3
SYN-066,DT_08,76.7,15,2026-07-26,50,9.4,not_required,achieved,True,10,1,1
SYN-067,DT_02,90.0,12,2026-07-29,33,18.8,not_required,achieved,False,16,1,0
SYN-068,DT_01,76.0,27,2026-07-14,51,17.2,achieved,in_progress,False,12,3,0
SYN-069,AI_05,98.7,15,2026-07-26,49,-16.2,not_required,not_required,False,21,2,0
SYN-070,AI_01,72.8,24,2026-07-17,53,21.8,in_progress,not_required,False,15,0,1
SYN-071,DT_07,99.3,31,2026-07-10,94,-21.0,achieved,achieved,False,12,0,0
SYN-072,DA_03,83.5,77,2026-05-25,39,21.4,not_required,not_required,False,20,0,2
SYN-073,DA_06,80.4,16,2026-07-25,58,5.5,in_progress,not_required,False,37,1,1
SYN-074,DT_10,94.9,40,2026-07-01,71,-0.7,in_progress,not_required,False,36,1,0
SYN-075,DA_06,86.7,21,2026-07-20,51,-0.2,achieved,in_progress,False,16,1,1
SYN-076,DT_02,85.9,22,2026-07-19,96,-3.8,in_progress,not_required,True,12,1,0
SYN-077,MLE_01,85.5,17,2026-07-24,42,-1.7,in_progress,achieved,False,13,0,0
SYN-078,DA_10,100.0,20,2026-07-21,56,11.8,not_required,achieved,True,24,0,0
SYN-079,DA_08,88.2,15,2026-07-26,34,1.5,achieved,achieved,False,14,1,1
SYN-080,DT_03,73.6,36,2026-07-05,42,28.8,achieved,not_required,False,19,1,0
SYN-081,DT_03,89.0,9,2026-08-01,78,27.7,not_required,in_progress,True,34,1,1
SYN-082,DA_02,96.5,4,2026-08-06,66,-2.4,in_progress,in_progress,True,11,1,2
SYN-083,DT_02,71.3,11,2026-07-30,58,8.2,achieved,in_progress,False,23,1,2
SYN-084,DT_09,85.5,10,2026-07-31,75,-13.4,not_required,achieved,True,3,0,0
SYN-085,DA_08,83.3,11,2026-07-30,48,11.2,not_required,not_required,False,22,0,0
SYN-086,DA_02,73.7,16,2026-07-25,43,0.9,in_progress,achieved,False,31,1,1
SYN-087,DT_10,86.0,11,2026-07-30,104,-24.9,not_required,not_required,False,20,0,1
SYN-088,DT_04,67.0,21,2026-07-20,90,20.2,not_required,achieved,False,39,1,1
SYN-089,AI_04,74.7,11,2026-07-30,35,-16.1,in_progress,achieved,False,2,0,0
SYN-090,DT_07,89.8,24,2026-07-17,36,24.6,not_required,not_required,False,17,2,1
SYN-091,AI_01,86.5,76,2026-05-26,31,-4.2,in_progress,achieved,True,14,2,1
SYN-092,DA_08,68.2,29,2026-07-12,103,10.1,in_progress,not_required,False,26,3,2
SYN-093,DT_07,87.3,12,2026-07-29,42,15.5,achieved,achieved,False,20,0,0
SYN-094,DT_03,76.3,7,2026-08-03,85,43.2,not_required,in_progress,False,28,2,1
SYN-095,AI_04,78.7,73,2026-05-29,89,20.0,achieved,not_required,False,17,2,1
SYN-096,DA_03,51.8,36,2026-07-05,106,21.7,not_required,not_required,False,18,1,0
SYN-097,DA_07,82.5,16,2026-07-25,33,17.1,achieved,achieved,False,7,0,0
SYN-098,DA_06,100.0,1,2026-08-09,28,-36.2,in_progress,not_required,False,11,0,0
SYN-099,AI_04,57.3,55,2026-06-16,124,14.4,in_progress,achieved,False,50,3,1
SYN-100,DA_10,88.8,20,2026-07-21,62,2.6,not_required,achieved,False,27,2,1
SYN-101,DT_06,93.5,11,2026-07-30,56,19.9,not_required,achieved,True,0,0,1
SYN-102,DT_02,87.5,5,2026-08-05,33,-4.7,in_progress,not_required,False,24,1,0
SYN-103,DA_05,100.0,4,2026-08-06,63,-2.5,not_required,achieved,True,18,0,0
SYN-104,DT_02,94.9,61,2026-06-10,35,6.7,not_required,achieved,False,0,0,0
SYN-105,DT_03,66.6,19,2026-07-22,39,39.2,achieved,not_required,True,18,1,0
SYN-106,DA_10,79.7,11,2026-07-30,31,4.9,achieved,not_required,False,28,0,2
SYN-107,AI_02,73.1,33,2026-07-08,118,29.2,not_required,not_required,False,33,3,0
SYN-108,DT_02,91.4,17,2026-07-24,62,28.6,achieved,in_progress,False,6,0,1
SYN-109,AI_01,85.4,4,2026-08-06,62,-4.6,achieved,achieved,False,25,1,0
SYN-110,DT_07,86.1,34,2026-07-07,74,23.4,achieved,in_progress,True,1,1,1
SYN-111,MLE_02,83.6,15,2026-07-26,106,3.4,achieved,in_progress,False,19,1,1
SYN-112,DA_01,75.2,19,2026-07-22,15,14.3,achieved,not_required,False,29,1,0
SYN-113,DA_04,99.2,48,2026-06-23,35,6.5,in_progress,not_required,False,18,2,0
SYN-114,DT_07,78.3,5,2026-08-05,37,-2.0,achieved,not_required,False,14,1,1
SYN-115,DA_01,86.9,9,2026-08-01,32,-0.5,achieved,achieved,False,26,1,2
SYN-116,AI_02,78.2,23,2026-07-18,28,18.1,not_required,in_progress,False,28,0,0
SYN-117,MLE_02,73.7,72,2026-05-30,113,48.6,not_required,in_progress,False,44,2,1
SYN-118,MLE_02,64.5,10,2026-07-31,43,21.2,not_required,achieved,False,32,0,2
SYN-119,AI_02,81.2,11,2026-07-30,56,2.6,achieved,not_required,False,22,0,1
SYN-120,AI_05,70.1,28,2026-07-13,55,26.2,in_progress,not_required,False,29,0,0
SYN-121,DT_01,85.4,74,2026-05-28,86,13.7,in_progress,not_required,True,29,1,0
SYN-122,DA_05,85.0,19,2026-07-22,60,9.9,achieved,achieved,False,14,1,1
SYN-123,AI_03,81.7,9,2026-08-01,62,19.7,achieved,achieved,False,16,0,0
SYN-124,AI_03,100.0,7,2026-08-03,42,36.5,not_required,achieved,False,5,1,1
SYN-125,DT_07,76.5,16,2026-07-25,104,16.8,achieved,not_required,False,17,4,0
SYN-126,DT_10,91.7,33,2026-07-08,54,-8.4,achieved,not_required,False,8,0,0
SYN-127,AI_02,78.8,94,2026-05-08,12,21.3,not_required,achieved,True,21,2,0
SYN-128,DT_08,88.2,14,2026-07-27,29,13.6,achieved,in_progress,True,26,0,0
SYN-129,DA_05,88.5,19,2026-07-22,15,-4.2,in_progress,achieved,True,13,0,0
SYN-130,DT_09,81.6,54,2026-06-17,50,-6.0,achieved,achieved,False,20,0,0
SYN-131,AI_02,77.4,22,2026-07-19,47,13.3,in_progress,in_progress,True,25,1,0
SYN-132,MLE_01,99.4,21,2026-07-20,52,11.2,not_required,achieved,False,22,1,1
SYN-133,DT_01,91.9,47,2026-06-24,90,-0.9,not_required,achieved,False,19,0,0
SYN-134,DA_05,88.9,19,2026-07-22,60,7.5,not_required,in_progress,False,14,0,0
SYN-135,MLE_01,93.9,7,2026-08-03,64,28.6,not_required,achieved,False,32,1,0
SYN-136,DT_08,82.8,41,2026-06-30,31,4.4,achieved,achieved,False,24,1,0
SYN-137,AI_04,66.0,3,2026-08-07,43,-0.4,in_progress,not_required,True,15,1,0
SYN-138,DA_02,100.0,36,2026-07-05,50,-21.7,not_required,achieved,False,14,0,2
SYN-139,DA_08,74.7,18,2026-07-23,60,4.7,achieved,not_required,True,37,0,1
SYN-140,DA_04,100.0,14,2026-07-27,12,-20.9,achieved,achieved,True,8,0,0
SYN-141,DA_03,93.4,14,2026-07-27,46,4.0,in_progress,achieved,False,19,0,0
SYN-142,DT_05,78.7,16,2026-07-25,50,-11.7,achieved,achieved,True,18,0,0
SYN-143,DT_01,99.6,12,2026-07-29,45,-12.1,in_progress,achieved,False,2,0,0
SYN-144,DA_06,60.2,67,2026-06-04,106,28.4,achieved,in_progress,False,38,0,0
SYN-145,DT_10,100.0,13,2026-07-28,39,3.1,not_required,not_required,False,6,0,0
SYN-146,DT_05,60.8,18,2026-07-23,61,38.0,achieved,not_required,False,20,1,2
SYN-147,DA_09,72.3,2,2026-08-08,60,28.2,achieved,not_required,False,32,1,1
SYN-148,DT_03,79.0,18,2026-07-23,68,19.9,achieved,in_progress,False,26,0,1
SYN-149,DT_02,91.0,12,2026-07-29,71,-9.8,achieved,in_progress,False,7,0,0
SYN-150,AI_03,97.4,35,2026-07-06,44,3.1,achieved,not_required,False,21,3,2
SYN-151,DT_08,83.7,14,2026-07-27,40,2.9,in_progress,achieved,False,11,0,0
SYN-152,DA_03,97.5,31,2026-07-10,58,3.7,achieved,in_progress,False,10,0,0
SYN-153,DA_09,76.0,29,2026-07-12,84,13.0,achieved,in_progress,False,31,1,0
SYN-154,MLE_02,100.0,29,2026-07-12,41,-7.1,achieved,in_progress,True,2,0,0
SYN-155,DT_07,91.0,15,2026-07-26,65,-16.3,in_progress,not_required,False,17,0,0
SYN-156,MLE_01,82.1,19,2026-07-22,69,8.8,not_required,achieved,False,13,0,0
SYN-157,AI_05,80.7,24,2026-07-17,75,22.0,in_progress,in_progress,False,7,0,1
SYN-158,AI_01,91.1,19,2026-07-22,85,-8.5,not_required,not_required,False,2,0,0
SYN-159,DA_04,93.8,14,2026-07-27,32,20.1,not_required,achieved,False,24,0,0
SYN-160,DT_05,87.8,8,2026-08-02,50,-9.9,not_required,achieved,False,16,1,1
SYN-161,DT_08,100.0,18,2026-07-23,50,-4.1,achieved,achieved,False,0,0,0
SYN-162,DA_07,80.0,4,2026-08-06,48,-7.5,not_required,achieved,False,0,0,0
SYN-163,DA_09,100.0,1,2026-08-09,37,-4.8,not_required,achieved,False,9,0,0
SYN-164,DT_01,77.7,6,2026-08-04,20,4.7,not_required,not_required,False,28,0,1
SYN-165,DT_09,73.8,29,2026-07-12,51,11.5,achieved,achieved,True,17,0,1
SYN-166,DA_04,83.7,21,2026-07-20,43,30.7,achieved,in_progress,False,34,1,1
SYN-167,AI_01,65.2,29,2026-07-12,51,28.9,not_required,not_required,False,22,0,0
SYN-168,DT_02,72.3,10,2026-07-31,34,16.1,not_required,not_required,False,25,1,1
SYN-169,DT_08,87.1,37,2026-07-04,28,6.5,achieved,not_required,False,0,0,0
SYN-170,DT_04,89.0,4,2026-08-06,54,-4.2,not_required,achieved,False,22,1,2
SYN-171,AI_04,84.4,6,2026-08-04,53,22.0,in_progress,achieved,False,17,1,1
SYN-172,DT_07,86.9,37,2026-07-04,61,0.4,in_progress,achieved,True,25,1,0
SYN-173,DT_03,82.2,20,2026-07-21,93,22.5,achieved,not_required,True,11,0,1
SYN-174,DT_02,58.5,46,2026-06-25,100,56.6,not_required,not_required,True,31,4,1
SYN-175,DT_04,85.2,21,2026-07-20,59,6.2,achieved,in_progress,False,19,1,0
SYN-176,DA_05,77.4,26,2026-07-15,71,3.2,not_required,in_progress,False,28,2,1
SYN-177,DT_06,70.8,6,2026-08-04,31,13.3,achieved,achieved,False,27,2,2
SYN-178,AI_04,75.8,2,2026-08-08,81,27.0,achieved,achieved,False,17,1,0
SYN-179,DT_07,67.9,59,2026-06-12,59,32.1,achieved,achieved,False,22,3,0
SYN-180,DT_06,87.0,3,2026-08-07,29,2.3,in_progress,achieved,False,25,1,0
SYN-181,DA_04,76.7,46,2026-06-25,69,35.7,not_required,achieved,False,34,2,2
SYN-182,DA_07,100.0,19,2026-07-22,48,3.9,achieved,in_progress,False,5,0,0
SYN-183,DA_04,100.0,22,2026-07-19,31,7.9,achieved,not_required,False,13,0,0
SYN-184,DT_01,99.8,21,2026-07-20,43,18.5,not_required,not_required,False,11,0,1
SYN-185,DA_06,83.9,27,2026-07-14,74,27.0,in_progress,in_progress,False,8,3,0
SYN-186,DT_04,98.8,9,2026-08-01,33,-3.2,in_progress,not_required,False,16,0,0
SYN-187,AI_05,91.1,1,2026-08-09,22,17.2,achieved,not_required,False,2,2,0
SYN-188,AI_03,100.0,11,2026-07-30,68,3.6,achieved,achieved,False,24,1,0
SYN-189,AI_03,95.0,25,2026-07-16,59,2.5,achieved,not_required,False,16,3,1
SYN-190,DT_10,76.1,6,2026-08-04,37,30.3,achieved,achieved,True,16,1,1
SYN-191,DT_09,94.6,38,2026-07-03,18,6.8,not_required,achieved,False,18,1,1
SYN-192,DA_09,80.9,16,2026-07-25,35,21.1,in_progress,achieved,False,23,2,0
SYN-193,MLE_01,93.7,6,2026-08-04,48,14.5,not_required,achieved,True,13,1,0
SYN-194,DT_04,77.2,20,2026-07-21,73,-2.1,achieved,not_required,False,21,0,0
SYN-195,DT_07,85.4,25,2026-07-16,29,10.9,in_progress,achieved,False,19,0,0
SYN-196,MLE_02,92.8,26,2026-07-15,48,13.6,in_progress,not_required,False,0,0,0
SYN-197,DA_03,72.7,37,2026-07-04,63,8.1,not_required,achieved,False,12,0,0
SYN-198,AI_04,80.7,4,2026-08-06,7,-21.0,not_required,not_required,True,23,0,0
SYN-199,AI_01,95.9,37,2026-07-04,70,-3.9,achieved,not_required,False,25,0,0
SYN-200,AI_03,91.8,39,2026-07-02,26,28.5,not_required,achieved,False,22,0,2
SYN-201,DT_07,93.1,6,2026-08-04,56,-0.0,not_required,achieved,False,4,0,0
SYN-202,DT_09,86.5,7,2026-08-03,54,-19.2,achieved,in_progress,False,17,0,1
SYN-203,DA_08,85.7,30,2026-07-11,71,32.7,in_progress,achieved,False,25,0,0
SYN-204,AI_02,78.3,13,2026-07-28,78,31.0,in_progress,not_required,False,31,1,2
SYN-205,DT_08,83.8,43,2026-06-28,7,-5.0,in_progress,achieved,False,16,0,0
SYN-206,DT_04,80.2,51,2026-06-20,34,12.8,achieved,not_required,False,25,2,1
SYN-207,DT_08,67.6,6,2026-08-04,52,21.5,not_required,not_required,False,16,0,0
SYN-208,DT_09,86.6,9,2026-08-01,46,0.3,achieved,not_required,False,11,0,1
SYN-209,MLE_01,83.0,19,2026-07-22,59,7.4,achieved,not_required,False,0,0,0
SYN-210,DT_08,93.5,1,2026-08-09,65,1.3,achieved,not_required,False,12,0,0
SYN-211,DA_08,81.3,2,2026-08-08,62,7.5,in_progress,in_progress,False,16,1,0
SYN-212,DT_10,91.2,8,2026-08-02,45,11.0,achieved,not_required,True,22,0,0
SYN-213,DA_06,100.0,63,2026-06-08,13,-8.5,in_progress,not_required,False,0,0,1
SYN-214,DT_10,72.8,22,2026-07-19,52,33.6,in_progress,in_progress,False,29,2,0
SYN-215,DA_03,78.7,10,2026-07-31,58,-2.6,in_progress,not_required,True,33,1,0
SYN-216,AI_05,73.5,7,2026-08-03,52,5.2,not_required,in_progress,False,27,2,1
SYN-217,AI_05,100.0,6,2026-08-04,62,9.3,not_required,achieved,False,13,1,1
SYN-218,DT_06,95.8,11,2026-07-30,68,17.4,in_progress,in_progress,True,20,3,0
SYN-219,DA_06,92.2,10,2026-07-31,52,21.1,not_required,achieved,True,37,0,1
SYN-220,DA_09,94.3,15,2026-07-26,7,21.2,in_progress,not_required,False,13,2,1
SYN-221,DA_07,88.8,26,2026-07-15,24,-0.2,achieved,not_required,False,16,1,1
SYN-222,DA_02,83.3,17,2026-07-24,87,9.6,achieved,achieved,True,6,0,0
SYN-223,MLE_02,92.5,32,2026-07-09,39,-0.5,not_required,achieved,False,8,1,0
SYN-224,DT_04,100.0,14,2026-07-27,10,-6.7,achieved,achieved,False,11,0,0
SYN-225,DA_02,75.7,54,2026-06-17,97,20.4,in_progress,not_required,False,37,5,1
SYN-226,DA_07,87.7,31,2026-07-10,50,32.2,not_required,achieved,False,31,1,0
SYN-227,DA_10,66.0,21,2026-07-20,72,-8.0,not_required,in_progress,False,23,3,1
SYN-228,DA_01,85.2,26,2026-07-15,81,31.0,not_required,not_required,False,23,1,2
SYN-229,DA_03,83.8,11,2026-07-30,59,-4.6,not_required,not_required,False,41,1,1
SYN-230,DT_10,59.7,15,2026-07-26,84,23.9,not_required,achieved,False,23,4,0
SYN-231,DA_04,69.5,16,2026-07-25,92,20.4,in_progress,not_required,True,22,1,1
SYN-232,AI_03,89.4,9,2026-08-01,95,-27.0,achieved,achieved,False,0,0,0
SYN-233,AI_05,70.9,12,2026-07-29,103,31.9,not_required,in_progress,True,39,1,1
SYN-234,DT_06,64.1,56,2026-06-15,77,29.3,not_required,in_progress,False,39,0,1
SYN-235,AI_02,86.9,35,2026-07-06,58,-26.1,not_required,achieved,True,31,1,0
SYN-236,DT_05,88.2,24,2026-07-17,72,24.3,in_progress,achieved,False,9,1,0
SYN-237,AI_03,82.8,17,2026-07-24,74,20.7,not_required,not_required,False,26,0,0
SYN-238,DT_02,96.2,71,2026-05-31,41,27.5,in_progress,not_required,False,18,1,3
SYN-239,DA_03,81.5,10,2026-07-31,73,15.2,not_required,in_progress,False,25,1,1
SYN-240,DA_03,92.6,22,2026-07-19,68,-1.5,not_required,in_progress,True,0,1,1
SYN-241,AI_05,89.4,39,2026-07-02,101,26.5,achieved,not_required,False,30,1,1
SYN-242,MLE_02,76.0,6,2026-08-04,49,42.1,not_required,not_required,False,31,1,1
SYN-243,DT_06,100.0,28,2026-07-13,39,8.7,not_required,not_required,False,9,1,0
SYN-244,AI_02,95.2,56,2026-06-15,43,-3.6,not_required,not_required,False,22,1,0
SYN-245,AI_04,98.1,18,2026-07-23,40,-1.3,achieved,not_required,False,4,0,1
SYN-246,MLE_01,99.3,20,2026-07-21,32,7.9,achieved,achieved,False,9,0,0
SYN-247,DT_09,91.1,10,2026-07-31,7,-23.3,achieved,not_required,False,8,0,0
SYN-248,DT_04,90.3,25,2026-07-16,41,20.5,achieved,achieved,True,6,2,0
SYN-249,AI_02,84.6,9,2026-08-01,57,30.1,not_required,achieved,False,21,1,0
SYN-250,DA_03,87.6,17,2026-07-24,43,26.6,achieved,not_required,False,33,2,3
SYN-251,DA_01,96.5,4,2026-08-06,88,18.2,not_required,achieved,False,7,2,0
SYN-252,DT_04,90.6,0,2026-08-10,50,11.3,achieved,achieved,False,20,1,1
SYN-253,AI_01,69.5,12,2026-07-29,75,15.4,in_progress,achieved,False,19,2,0
SYN-254,DA_05,86.6,12,2026-07-29,55,8.8,in_progress,not_required,False,17,1,2
SYN-255,AI_03,83.4,13,2026-07-28,66,4.4,achieved,not_required,False,15,0,1
SYN-256,DA_01,80.2,30,2026-07-11,55,-0.7,not_required,not_required,True,11,0,0
SYN-257,DA_02,89.1,41,2026-06-30,109,41.9,achieved,in_progress,False,36,1,0
SYN-258,DA_06,79.5,22,2026-07-19,51,33.9,in_progress,achieved,False,22,3,0
SYN-259,MLE_01,78.8,29,2026-07-12,59,-15.0,achieved,achieved,False,27,0,0
SYN-260,DT_02,75.6,9,2026-08-01,67,32.5,achieved,achieved,True,25,0,1
SYN-261,DT_09,89.4,7,2026-08-03,44,2.2,not_required,achieved,False,7,1,0
SYN-262,AI_04,78.4,26,2026-07-15,58,16.9,achieved,achieved,False,29,0,3
SYN-263,DT_09,59.8,34,2026-07-07,152,39.1,in_progress,not_required,False,36,2,2
SYN-264,DA_08,88.8,8,2026-08-02,73,37.8,in_progress,achieved,True,33,3,0
SYN-265,DA_06,92.3,96,2026-05-06,58,19.0,not_required,in_progress,False,32,0,0
SYN-266,DA_10,66.3,43,2026-06-28,128,49.2,in_progress,not_required,False,25,1,0
